id, postcode
4771491937, 3170
7988087191, 9811
5353663215, 9957
4256725781, 9464
6099428515, 1463
4907512503, 8939
5782131965, 2271
3634980918, 7364
3553225160, 3730
4116113039, 9418
5550629088, 2240
4561855972, 6661
4610364023, 3734
2462831578, 6741
1507303774, 3125
5369327120, 2594
8409877589, 5014
1687023702, 6573
8393647302, 5223
4685048086, 2274
2080235263, 3064
5020500357, 6521
1899448366, 4264
5332422693, 8347
7195314619, 9841
7868499671, 1964
3665196097, 5691
3741904562, 2627
5213721956, 9001
3328117392, 3371
9758915510, 6051
5801899967, 4927
3492345921, 1831
4935810836, 5582
1744391993, 9249
6463472685, 6814
7388583679, 7672
7928276735, 3165
1900831165, 1562
9254536345, 2033
5179818710, 6802
3487162023, 4921
2450343472, 5262
9935151359, 5425
7103030949, 8801
6719004417, 4926
1855274964, 4002
1292950157, 5151
3595091144, 2060
1096777746, 5469
5067625385, 2225
2442469071, 7603
1200673054, 8239
6298115586, 5175
2501279145, 9148
6258984011, 1361
3937137465, 2504
7034288045, 6088
5654162697, 1102
4140109454, 5050
8736037574, 8637
6345403534, 1865
9625811716, 9439
3701699935, 3119
2295366471, 3501
6326058190, 1410
3204752193, 3037
1758802534, 7694
5720852298, 3132
6140955091, 5422
6747679704, 5409
8011586497, 3250
9455849240, 9934
6394722588, 5366
4535763175, 1244
1298311185, 4130
1070413760, 9321
6692018625, 2970
1351535986, 7891
1271538644, 3512
1553742935, 2900
6268081015, 3147
3183549470, 2394
8914874058, 7911
5347222721, 5427
2458631442, 1273
7935884890, 7614
4763665012, 5435
1025493814, 8635
6976909386, 8385
2014430927, 7963
1987474161, 1034
2589011619, 7270
3134696451, 4780
4611729821, 7795
7601234213, 6095
4050428955, 7901
8908578844, 6111
2688834946, 1454
7696551732, 7665
1757723806, 8881
8256101653, 9359
2014049373, 6822
7137861453, 3114
9376408960, 6501
1648339326, 6732
1737848226, 6812
4210962879, 2950
7545419159, 6714
4010828714, 4715
4008786585, 5954
1770482233, 2987
2576106478, 3253
7920439780, 1008
1400496348, 7779
9994689519, 4834
2997671051, 5625
8845924254, 3554
4701091310, 9533
1527067326, 2191
6888383069, 8342
2926636798, 5802
6479815423, 6942
3159856676, 7102
3712895554, 7534
6701915644, 7442
9492605195, 5311
9855637174, 9733
2138679790, 3334
5691048501, 6104
8289885278, 9717
7087818314, 4706
1182853565, 5292
6717188684, 2566
2693539835, 9662
4792128838, 9178
8935705541, 8404
9822958003, 9475
6945299398, 2573
1451612883, 8388
7294581919, 7735
6255080956, 8196
6767185869, 5924
9157506689, 7352
4611981770, 4190
3630063300, 1321
2331963031, 7572
3604772556, 2182
3447606683, 9711
4152442879, 2267
9200024984, 5492
8888587969, 3199
4733699603, 2450
6898229757, 6675
9116320164, 1031
4192534403, 7065
3471004469, 1777
1358417544, 8439
3478947889, 7946
6043732830, 8381
9315361365, 5759
8952788119, 9610
9712951817, 1829
3022909969, 9731
2357642137, 7772
3289972133, 7788
6161026758, 4417
3716987768, 3648
8187562704, 2525
8201408959, 5347
5259972357, 5865
1829872912, 7914
5936761659, 2721
9705124643, 8812
9656520132, 6629
9122436546, 5318
7260658586, 2355
4332205943, 5401
1717698412, 3329
1799222171, 5731
8051801805, 3584
2832123292, 3522
5063573602, 4326
1309954410, 8515
8509301491, 7332
3222295261, 2244
2852814218, 4856
3726250631, 6634
3860502687, 7260
7208024133, 6942
3471441401, 3240
2701922447, 2821
5136866997, 2628
5357943719, 4431
9071508249, 1722
5526739154, 9036
9149444469, 9751
4172601284, 8032
7542611985, 9882
3895359958, 5703
2503852080, 9942
5391863324, 8614
5126432763, 7525
4189757046, 9500
5279991101, 2165
9239699442, 8603
3420193732, 3086
6087387648, 9566
9871428114, 5261
5130149301, 3852
7800385567, 2803
3212984646, 9453
6859968336, 8193
4432285165, 3247
5685652006, 9177
9556961524, 9005
4626049557, 1801
3998893500, 4520
2237919618, 7160
4135621593, 7891
5444620611, 6461
7252652311, 6579
7873112608, 3311
1470147927, 4542
9574227507, 5022
8707492626, 2158
6613700546, 1044
9256068331, 7443
1988574734, 2965
5004397508, 1086
5514529838, 9163
7023696824, 2521
