id, lengte
3175144148, 165
3846338103, 160
2579229917, 175
2263613465, 161
2900563093, 165
4279073108, 164
3018345959, 155
2445892294, 165
6211196044, 167
3760991956, 160
6778400521, 168
2174031576, 168
5559854148, 161
7877331865, 172
1499351969, 179
4344674898, 170
3315112810, 157
1623951299, 171
1711239708, 160
9619021401, 155
2497868309, 165
3063153146, 151
4267066096, 162
9699348346, 165
9140145897, 151
3406329314, 165
3828557122, 168
2440293111, 164
1157508289, 167
9257406278, 166
2355010649, 172
1101040443, 160
2378142302, 177
8719764915, 158
7359089704, 160
5045747851, 173
5493673711, 159
7679666715, 176
8066665428, 166
7208337135, 174
4802735095, 166
3118503947, 161
3672564005, 169
1447759219, 159
2339652770, 165
5806009311, 170
5503756694, 160
6907550655, 164
4536590623, 165
3214139904, 159
9226330822, 165
5600118723, 168
1767434919, 163
3863256216, 161
2910114089, 166
9952815018, 165
2039346352, 149
2468964259, 161
9071879096, 159
4038939400, 168
8863027709, 166
8483400169, 174
5307917311, 170
3513120815, 165
1807642172, 168
9272030299, 162
3675692556, 168
5605912161, 153
9485345703, 172
7917692701, 166
1094380543, 168
3208752672, 156
3033493970, 177
7580344958, 164
3780890715, 174
4866489675, 165
1405801485, 171
4678785706, 159
2980630256, 170
3546938261, 171
8812210960, 160
3886989563, 167
7433043915, 171
1324469167, 166
7613869940, 150
2454997129, 169
2203092912, 162
7609803301, 168
4245822652, 159
7610148417, 162
2683948116, 160
1123017019, 165
7895219706, 165
6517604991, 158
1590519567, 168
5483763470, 151
9683130404, 158
5869511381, 174
9037020385, 167
5475900568, 168
6108198391, 169
8165609543, 174
3536783852, 165
4339193089, 169
5611567208, 161
7997040548, 162
7139570826, 165
9895917793, 160
3775422366, 167
9957026004, 162
3315354279, 155
3323677523, 169
6671372729, 173
4080234075, 162
7574998001, 160
5885796358, 165
5638315356, 168
8210300861, 154
5997241240, 171
5819287299, 167
9607055747, 153
9705124643, 159
4030907959, 176
8926704341, 165
1115473246, 159
8316034604, 169
4613952249, 161
2323234559, 158
6571680069, 160
4195176807, 160
8874499969, 171
7420849444, 161
2915073662, 148
4291816839, 167
3692302363, 162
3915000650, 168
8582835229, 167
1572008559, 159
7528598660, 159
6691493225, 157
7930492954, 172
6612343652, 171
9764066873, 166
7244471719, 169
9865516503, 173
7292427145, 157
1240948154, 172
6849938896, 167
7042209161, 166
4585984996, 173
3545820029, 171
9943561634, 152
5546520182, 176
4056876731, 163
4237339369, 163
7602149681, 156
4101359311, 167
7579902997, 158
1346830482, 161
7343365441, 168
5911372874, 166
7546782913, 172
8482596646, 160
3661858136, 159
8641073911, 166
6620220455, 158
6086815139, 159
5709713520, 170
9175608634, 172
9065768373, 169
3755715455, 163
7145968517, 170
4465746296, 170
3256588213, 161
8839616039, 169
8463914493, 168
5558085465, 157
2052862440, 163
1176493483, 157
8513429192, 164
9330980395, 164
8008677834, 170
8729659359, 167
5409565288, 158
8973852117, 174
3675775230, 169
9864906474, 161
2660213152, 161
1088062699, 165
1674637166, 166
4994226745, 165
5621862007, 167
3368159282, 176
8339166623, 159
9114483529, 155
7296917179, 176
6328315160, 172
6744119411, 152
9325130589, 179
5625867630, 168
1255518248, 164
7305828556, 164
8144655778, 169
6287454233, 160
8461294692, 168
4812340112, 165
3861432972, 162
3281112377, 152
1164694069, 171
2071499032, 154
3873353270, 155
6263250401, 167
3030446931, 172
7453173005, 162
7428122056, 165
9175857607, 173
2430571059, 164
7667998605, 157
5512636919, 169
3582099604, 170
5709792087, 159
3656489712, 170
8164992358, 165
8223431149, 171
5555760689, 158
9887969174, 161
8264957792, 174
3447213879, 177
2996711875, 163
4927155912, 175
3473267261, 159
3446929080, 171
3176260331, 158
5904856587, 167
6646919785, 177
7259334529, 172
4188683539, 168
2567949277, 166
1313696244, 165
3031771750, 174
9323331599, 165
5373066671, 179
3300844023, 174
5272538081, 162
9008358575, 153
1007913793, 160
3406771510, 152
2785093069, 167
8890394306, 168
4627210468, 165
1321231084, 153
3347523063, 156
6550862646, 154
5511957474, 160
4473422681, 163
4123039585, 165
6146815637, 159
1165942509, 166
9565491057, 173
9768165494, 154
1258702246, 153
9823046236, 160
1226269452, 160
9796341299, 170
5307374924, 164
3488357287, 163
3169061110, 163
7301850695, 157
7159685829, 174
4354467269, 173
8230679099, 165
7948369760, 158
7512576104, 167
9041692186, 162
6903696652, 163
3405974718, 169
8742895687, 156
6379015040, 162
8419292129, 156
4084660232, 156
7466197136, 170
6582821217, 180
5839818322, 155
5043039241, 164
9529772878, 166
8638079110, 161
1211552224, 158
2051285207, 158
5596442320, 165
1933558389, 162
4744006197, 158
9260755872, 163
1404925084, 173
3571030895, 157
4718187454, 156
6240505659, 166
2700401317, 164
3301925418, 169
5538625898, 179
4875339279, 165
1382213479, 165
5574535190, 169
5519010302, 176
7481140210, 161
2395278700, 165
2636359522, 159
4935320525, 163
8034006773, 158
8061759664, 163
4872767934, 149
9936831420, 170
4708453658, 159
7310367707, 159
4848777254, 166
